bare	accented	translations_en	translations_de	gender	partner	animate	indeclinable	sg_only	pl_only	sg_nom	sg_gen	sg_dat	sg_acc	sg_inst	sg_prep	pl_nom	pl_gen	pl_dat	pl_acc	pl_inst	pl_prep
ливанец	лива'нец	Lebanese	Libanese	m		0	0	0	0	лива'нец	лива'нца	лива'нцу	лива'нца	лива'нцем	лива'нце	лива'нцы	лива'нцев	лива'нцам	лива'нцев	лива'нцами	лива'нцах
ливанка	лива'нка	Lebanese	Libanesin	f																	
ливер	ли'вер	siphon, pluck, liver	Heber, Probenheber, Stechheber; Handpumpe	m		0	0	0	0	ли'вер	ли'вера	ли'веру	ли'вер	ли'вером	ли'вере	*ли'веры	*ли'веров	*ли'верам	*ли'веры	*ли'верами	*ли'верах
лигатура	лигату'ра	alloy, ligature	Vorlegierung	f		0	0	0	0	лигату'ра	лигату'ры	лигату'ре	лигату'ру	лигату'рой, лигату'рою	лигату'ре	лигату'ры	лигату'р	лигату'рам	лигату'ры	лигату'рами	лигату'рах
лигнин	лигни'н	lignin	Lignin, Holzstoff	m		0	0	1	0	лигни'н	лигни'на	лигни'ну	лигни'н	лигни'ном	лигни'не						
лигнит	лигни'т	lignite	Lignit, Lignitkohle, Xylit	m		0	0	0	0	лигни'т	лигни'та	лигни'ту	лигни'т	лигни'том	лигни'те	лигни'ты	лигни'тов	лигни'там	лигни'ты	лигни'тами	лигни'тах
лизис	ли'зис	lysis	Lysis, Auflösung, Rückgang, Fieberrückgang, Fieberabfall, Zerfall	m		0	0	0	0	ли'зис	ли'зиса	ли'зису	ли'зис	ли'зисом	ли'зисе	ли'зисы	ли'зисов	ли'зисам	ли'зисы	ли'зисами	ли'зисах
лизоблюд	лизоблю'д	lick-spittle	Speichellecker	m		1	0	0	0	лизоблю'д	лизоблю'да	лизоблю'ду	лизоблю'да	лизоблю'дом	лизоблю'де	лизоблю'ды	лизоблю'дов	лизоблю'дам	лизоблю'дов	лизоблю'дами	лизоблю'дах
лизол	лизо'л	lysol	Lysol	m		0	0	1	0	лизо'л	лизо'ла	лизо'лу	лизо'л	лизо'лом	лизо'ле						
ликоподий	ликопо'дий	lycopodium, lycopodium powder	Lykopodium	m		0	0	0	0	ликопо'дий	ликопо'дия	ликопо'дию	ликопо'дий	ликопо'дием	ликопо'дии	ликопо'дии	ликопо'диев	ликопо'диям	ликопо'дии	ликопо'диями	ликопо'диях
ликтор	ли'ктор	lictor	Liktor	m		1	0	0	0	ли'ктор	ли'ктора	ли'ктору	ли'ктора	ли'ктором	ли'кторе	ли'кторы	ли'кторов	ли'кторам	ли'кторов	ли'кторами	ли'кторах
лиман	лима'н	estuary, firth, coastal salt lake	Haff, Liman	m		0	0	0	0	лима'н	лима'на	лима'ну	лима'н	лима'ном	лима'не	лима'ны	лима'нов	лима'нам	лима'ны	лима'нами	лима'нах
лимб	лимб	limb	Limbus (Gradkreis an Winkelmessern), Rundskala; Hornhautrand; sichtbarer Rand eines Himmelskörpers; Vorhölle	m		0	0	0	0	ли'мб	ли'мба	ли'мбу	ли'мб	ли'мбом	ли'мбе	ли'мбы	ли'мбов	ли'мбам	ли'мбы	ли'мбами	ли'мбах
линёк	линёк	colt	kleine / schöne Schleie; (feine / schöne) Leine (auf Schiffen)	m			0	0	0	линёк	линька'	линьку'	линька',  линёк	линько'м	линьке'	линьки'	линько'в	линька'м	линько'в, линьки'	линька'ми	линька'х
линотип	линоти'п	linotype	Linotype, Zeilensetz- und -gießmaschine	m		0	0	0	0	линоти'п	линоти'па	линоти'пу	линоти'п	линоти'пом	линоти'пе	линоти'пы	линоти'пов	линоти'пам	линоти'пы	линоти'пами	линоти'пах
линчевание	линчева'ние	lynch law, lynching	Lynchjustiz; Lynchen	n		0	0	0	0	линчева'ние	линчева'ния	линчева'нию	линчева'ние	линчева'нием	линчева'нии	линчева'ния	линчева'ний	линчева'ниям	линчева'ния	линчева'ниями	линчева'ниях
линь	линь	tench, line	Schleie	m		1	0	0	0	ли'н	линя'	линю'	линя'	линём	лине'	лини'	лине'й	линя'м	лине'й	линя'ми	линя'х
линька	ли'нька	shedding of hair, moult	Mauser, Federn, Haaren, Häutung, Ekdysis	f		0	0	0	0	ли'нька	ли'ньки	ли'ньке	ли'ньку	ли'нькой, ли'нькою	ли'ньке	ли'ньки	ли'нек	ли'нькам	ли'ньки	ли'ньками	ли'ньках
липняк	липня'к	lime-grove	Lindenwald, Lindenhain, Lindenwäldchen	m		0	0	0	0	липня'к	липняка'	липняку'	липня'к	липняко'м	липняке'	липняки'	липняко'в	липняка'м	липняки'	липняка'ми	липняка'х
липучка	липу'чка	fly-paper, sticker	Klettverschluss	f		0	0	0	0	липу'чка	липу'чки	липу'чке	липу'чку	липу'чкой, липу'чкою	липу'чке	липу'чки	липу'чек	липу'чкам	липу'чки	липу'чками	липу'чках
лиризм	лири'зм	lyricism	lyrische Stimmung, lyrischer Charakter, lyrischer Gehalt	m		0	0	1	0	лири'зм	лири'зма	лири'зму	лири'зм	лири'змом	лири'зме						
лиричность	лири'чность	lyricism	lyrischer └ Charakter / Tenor┘, lyrische Stimmung	f		0	0	1	0	лири'чность	лири'чности	лири'чности	лири'чность	лири'чностью	лири'чности						
